Optimal HV: 17035431968
Iteration 273: HV = 7461581048.85, HVR = 0.44
Iteration 274: HV = 7490336816.89, HVR = 0.44
Iteration 275: HV = 7490336816.89, HVR = 0.44
Iteration 276: HV = 7517744246.57, HVR = 0.44
Iteration 277: HV = 7579049565.10, HVR = 0.44
Iteration 278: HV = 7580656587.03, HVR = 0.44
Iteration 279: HV = 7585870422.70, HVR = 0.45
Iteration 280: HV = 7595019652.14, HVR = 0.45
Iteration 281: HV = 7595019652.14, HVR = 0.45
Iteration 282: HV = 7595019652.14, HVR = 0.45
Iteration 283: HV = 7631947574.54, HVR = 0.45
Iteration 284: HV = 7631947574.54, HVR = 0.45
Iteration 285: HV = 7631947574.54, HVR = 0.45
Iteration 286: HV = 7631947574.54, HVR = 0.45
Iteration 287: HV = 7643955715.08, HVR = 0.45
Iteration 288: HV = 7633972003.68, HVR = 0.45
Iteration 289: HV = 7671058010.56, HVR = 0.45
Iteration 290: HV = 7671058010.56, HVR = 0.45
Iteration 291: HV = 7811203440.23, HVR = 0.46
Iteration 292: HV = 7820902470.93, HVR = 0.46
Iteration 293: HV = 7831804793.81, HVR = 0.46
Iteration 294: HV = 7831804793.81, HVR = 0.46
Iteration 295: HV = 7831804793.81, HVR = 0.46
Iteration 296: HV = 7831804793.81, HVR = 0.46
Iteration 297: HV = 7859931639.21, HVR = 0.46
Iteration 298: HV = 7957305493.22, HVR = 0.47
Iteration 299: HV = 8011217002.59, HVR = 0.47
Iteration 300: HV = 8017082946.53, HVR = 0.47
Iteration 301: HV = 8017082946.53, HVR = 0.47
Iteration 302: HV = 8017082946.53, HVR = 0.47
Iteration 303: HV = 7974514048.56, HVR = 0.47
Iteration 304: HV = 7974514048.56, HVR = 0.47
Iteration 305: HV = 7970236221.88, HVR = 0.47
Iteration 306: HV = 7970236221.88, HVR = 0.47
Iteration 307: HV = 8084692589.54, HVR = 0.47
Iteration 308: HV = 8084692589.54, HVR = 0.47
Iteration 309: HV = 8084692589.54, HVR = 0.47
Iteration 310: HV = 8057518195.71, HVR = 0.47
Iteration 311: HV = 8057518195.71, HVR = 0.47
Iteration 312: HV = 8057518195.71, HVR = 0.47
Iteration 313: HV = 8078570585.12, HVR = 0.47
Iteration 314: HV = 8103200348.70, HVR = 0.48
Iteration 315: HV = 8077058260.17, HVR = 0.47
Iteration 316: HV = 8077058260.17, HVR = 0.47
Iteration 317: HV = 8079074837.61, HVR = 0.47
Iteration 318: HV = 8079074837.61, HVR = 0.47
Iteration 319: HV = 8082152165.04, HVR = 0.47
Iteration 320: HV = 8104878221.66, HVR = 0.48
Iteration 321: HV = 8244990944.66, HVR = 0.48
Iteration 322: HV = 8255851860.57, HVR = 0.48
Iteration 323: HV = 8255851860.57, HVR = 0.48
Iteration 324: HV = 8255851860.57, HVR = 0.48
Iteration 325: HV = 8255851860.57, HVR = 0.48
Iteration 326: HV = 8263474023.34, HVR = 0.49
Iteration 327: HV = 8263474023.34, HVR = 0.49
Iteration 328: HV = 8263474023.34, HVR = 0.49
Iteration 329: HV = 8192096004.16, HVR = 0.48
Iteration 330: HV = 8192096004.16, HVR = 0.48
Iteration 331: HV = 8209861384.82, HVR = 0.48
Iteration 332: HV = 8199250767.12, HVR = 0.48
Iteration 333: HV = 8199250767.12, HVR = 0.48
Iteration 334: HV = 8199250767.12, HVR = 0.48
Iteration 335: HV = 8199250767.12, HVR = 0.48
Iteration 336: HV = 8199250767.12, HVR = 0.48
Iteration 337: HV = 8240785705.03, HVR = 0.48
Iteration 338: HV = 8240785705.03, HVR = 0.48
Iteration 339: HV = 8240785705.03, HVR = 0.48
Iteration 340: HV = 8158571644.34, HVR = 0.48
Iteration 341: HV = 8238250751.58, HVR = 0.48
Iteration 342: HV = 8238250751.58, HVR = 0.48
Iteration 343: HV = 8238250751.58, HVR = 0.48
Iteration 344: HV = 8238250751.58, HVR = 0.48
Iteration 345: HV = 8238250751.58, HVR = 0.48
Iteration 346: HV = 8238250751.58, HVR = 0.48
Iteration 347: HV = 8238250751.58, HVR = 0.48
Iteration 348: HV = 8238250751.58, HVR = 0.48
Iteration 349: HV = 8150643495.20, HVR = 0.48
Iteration 350: HV = 8150643495.20, HVR = 0.48
Iteration 351: HV = 8178403349.92, HVR = 0.48
Iteration 352: HV = 8178403349.92, HVR = 0.48
Iteration 353: HV = 8178403349.92, HVR = 0.48
Iteration 354: HV = 8178403349.92, HVR = 0.48
Iteration 355: HV = 8128431344.47, HVR = 0.48
Iteration 356: HV = 8128431344.47, HVR = 0.48
Iteration 357: HV = 8128431344.47, HVR = 0.48
Iteration 358: HV = 8128431344.47, HVR = 0.48
Iteration 359: HV = 8128431344.47, HVR = 0.48
Iteration 360: HV = 8128431344.47, HVR = 0.48
